exam_year,ks,subject_code,subject_name,n_entries,n_grades_astar_to_c,percent_entries_astar_to_c
2016,4,0001,Applied Art & Des,21,13,61.9
2016,4,0002,Applied Business,664,486,73.2
2016,4,0003,Health & Soc Care,748,556,74.3
2016,4,0004,Leisure & Tourism,223,112,50.2
2016,4,0005,Manufacturing,116,76,65.5
2016,4,0006,Construction,570,470,82.5
2016,4,0007,Hosp & Catering,335,214,63.9
2016,4,0009,Applied Engineering,387,258,66.7
2016,4,0010,Applied ICT,170,161,94.7
2016,4,0015,Performing Arts,302,190,62.9
2016,4,0021,Prep for Employmnt,6053,4729,78.1
2016,4,0028,Addl Appl Sci,21,8,38.1
2016,4,0040,Journalism,241,199,82.6
2016,4,1010,Biology,4022,3790,94.2
2016,4,1110,Chemistry,3145,2955,94.0
2016,4,1210,Physics,2873,2764,96.2
2016,4,1300,Science (Core),1016,419,41.2
2016,4,1310,Science SA,4905,3538,72.1
2016,4,1320,Science: Additional,1211,987,81.5
2016,4,1370,Science Double Awd,6923,6586,95.1
2016,4,1690,Science: Astronomy,46,44,95.7
2016,4,1730,Sci: Electronics,28,26,92.9
2016,4,1770,Science: Geology,30,30,100.0
2016,4,2210,Mathematics,20640,13864,67.2
2016,4,2330,Maths (Further),3367,3166,94.0
2016,4,2510,Statistics,414,295,71.3
2016,4,2610,Com.Stds/Computing,511,444,86.9
2016,4,2650,Inform Comm Tech,7626,6223,81.6
2016,4,3070,Motor Vehicle Stds,758,419,55.3
2016,4,3210,Bus. Studs:Single,2588,2143,82.8
2016,4,3310,Home Economics,2183,1828,83.7
2016,4,3330,HE: Child Devt,1778,1316,74.0
2016,4,3350,HE: Food,167,96,57.5
2016,4,3510,Art & Design,3945,3275,83.0
2016,4,3570,Art & Des(Photo.),52,37,71.2
2016,4,3650,Art & Des(Textles),4,c,c
2016,4,3690,Art&Des : Fine Art,9,9,100.0
2016,4,3910,Geography,5917,4749,80.3
2016,4,4010,History,6612,5353,81.0
2016,4,4410,Economics,234,218,93.2
2016,4,4610,Religious Studies,11711,9119,77.9
2016,4,4850,Psychology,31,28,90.3
2016,4,4890,Sociology,178,124,69.7
2016,4,5010,English,815,495,60.7
2016,4,5030,English Language,19339,15667,81.0
2016,4,5110,English Literature,10138,9485,93.6
2016,4,5210,Drama & Theat.Stds,1427,1230,86.2
2016,4,5350,Media/Film/TV Stds,1705,1319,77.4
2016,4,5360,Film Studies,13,6,46.2
2016,4,5550,Irish,1538,1475,95.9
2016,4,5630,Dutch,1,c,c
2016,4,5650,French,5075,4363,86.0
2016,4,5670,German,1137,976,85.8
2016,4,5690,Italian,13,13,100.0
2016,4,5730,Portuguese,17,15,88.2
2016,4,5750,Spanish,3494,3161,90.5
2016,4,5910,Arabic,2,c,c
2016,4,5930,Bengali,1,c,c
2016,4,5950,Chinese,6,5,83.3
2016,4,6010,Japanese,1,c,c
2016,4,6070,Polish,59,57,96.6
2016,4,6090,Russian,22,22,100.0
2016,4,6510,Ancient History,17,12,70.6
2016,4,6530,Class.Civilisation,61,56,91.8
2016,4,6550,Classical Greek,2,c,c
2016,4,6610,Latin,51,43,84.3
2016,4,7010,Music,1529,1391,91.0
2016,4,7210,Sport/P.E. Studies,3153,2584,82.0
2016,4,7230,Dance,18,16,88.9
2016,4,7430,Catering Studies,15,9,60.0
2016,4,7460,Office Technology,1136,741,65.2
2016,4,8900,Design& Technology,2563,2153,84.0
2016,4,9010,D&T Electrnc.Prods,131,125,95.4
2016,4,9030,D&T Graphic Prods,62,42,67.7
2016,4,9040,D&T Resist. Matrls,1170,821,70.2
2016,4,9060,D&T Systems & Cont,85,82,96.5
2016,4,9080,D&T Product Design,124,77,62.1
2016,4,SA1,Agriculture,166,117,70.5
2017,4,0001,Applied Art & Des,32,28,87.5
2017,4,0002,Applied Business,845,617,73.0
2017,4,0003,Health & Soc Care,824,598,72.6
2017,4,0004,Leisure & Tourism,252,116,46.0
2017,4,0005,Manufacturing,156,118,75.6
2017,4,0006,Construction,673,522,77.6
2017,4,0007,Hosp & Catering,347,227,65.4
2017,4,0009,Applied Engineering,378,256,67.7
2017,4,0010,Applied ICT,162,153,94.4
2017,4,0015,Performing Arts,286,181,63.3
2017,4,0021,Prep for Employmnt,5570,4323,77.6
2017,4,0028,Addl Appl Sci,25,17,68.0
2017,4,0040,Journalism,230,179,77.8
2017,4,1010,Biology,3839,3598,93.7
