year,School,Label,AOL,Pupils,Provider,subject,course_name,course_code,school_id
11,St Patrick's Academy (Lisburn),A,LLW,15,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4230165
11,Larne High School,A,LLW,35,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210038
11,Cullybackey College,A,LLW,15,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210172
11,St Mary's High (Newry),A,LLW,17,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230108
11,St Colman's High School,A,LLW,47,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4230161
11,Drumglass High,A,LLW,8,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5210231
11,Limavady High School,A,LLW,127,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2210302
11,Holy Cross College,A,LLW,43,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230301
11,Priory Integrated College,A,LLW,40,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4250024
11,Blackwater Integrated College,A,LLW,14,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4260309
11,St Killian's College,A,LLW,19,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3230310
11,De La Salle College,A,LLW,22,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1230182
11,Ballymoney High School,A,LLW,140,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210133
11,Movilla High School,A,LLW,42,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4210012
11,St Joseph's Boys' School,A,LLW,76,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230131
11,Lismore Comprehensive,A,LLW,16,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230213
11,Sacred Heart College,A,LLW,25,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230298
11,Craigavon Senior High School,A,LLW,90,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5210282
11,Dean Maguirc College,A,LLW,49,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230138
11,Blessed Trinity College,A,LLW,83,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1230321
11,Our Lady of Lourdes High School,A,LLW,22,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3230075
11,Saintfield High School,A,LLW,22,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4210063
11,St Patrick's College (Dungannon),A,LLW,32,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230293
11,Lagan College,A,LLW,9,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4260255
11,St Joseph's College (Enniskillen),A,LLW,12,Collaboration with other school,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230100
11,All Saints College,A,LLW,78,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1230324
11,St Patrick's College (Dungiven),A,LLW,24,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230144
11,Rathfriland High,A,LLW,18,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5210127
11,Hazelwood Integrated College,A,LLW,54,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1260269
11,Ashfield Girls' High School,A,LLW,56,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1210014
11,Ulidia Integrated College,A,LLW,20,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3260299
11,St Genevieve's High,A,LLW,35,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1230155
11,Cookstown High,A,LLW,6,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5210230
11,Abbey Community College,A,LLW,112,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210313
11,St Ronan's College,A,LLW,100,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5420314
