AOL,Course Code,Course Name,Exam Board,KS,Label,Provider,School,School Id,Subject2,Year,Pupils
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's Academy (Lisburn),4230165,ICT,11,15
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Larne High School,3210038,ICT,11,35
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Cullybackey College,3210172,ICT,11,15
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Mary's High (Newry),5230108,ICT,11,17
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Colman's High School,4230161,ICT,11,47
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Drumglass High,5210231,ICT,11,8
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Limavady High School,2210302,ICT,11,127
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Holy Cross College,2230301,ICT,11,43
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Priory Integrated College,4250024,ICT,11,40
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Blackwater Integrated College,4260309,ICT,11,14
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Killian's College,3230310,ICT,11,19
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,De La Salle College,1230182,ICT,11,22
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Ballymoney High School,3210133,ICT,11,140
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Movilla High School,4210012,ICT,11,42
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Joseph's Boys' School,2230131,ICT,11,76
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Lismore Comprehensive,5230213,ICT,11,16
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Sacred Heart College,2230298,ICT,11,25
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Craigavon Senior High School,5210282,ICT,11,90
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Dean Maguirc College,2230138,ICT,11,49
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Blessed Trinity College,1230321,ICT,11,83
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Our Lady of Lourdes High School,3230075,ICT,11,22
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Saintfield High School,4210063,ICT,11,22
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's College (Dungannon),5230293,ICT,11,32
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Lagan College,4260255,ICT,11,9
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Collaboration with other school,St Joseph's College (Enniskillen),2230100,ICT,11,12
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,All Saints College,1230324,ICT,11,78
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's College (Dungiven),2230144,ICT,11,24
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Rathfriland High,5210127,ICT,11,18
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Hazelwood Integrated College,1260269,ICT,11,54
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Ashfield Girls' High School,1210014,ICT,11,56
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Ulidia Integrated College,3260299,ICT,11,20
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Genevieve's High,1230155,ICT,11,35
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Cookstown High,5210230,ICT,11,6
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Abbey Community College,3210313,ICT,11,112
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Ronan's College,5420314,ICT,11,100
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Mark's High,5230135,ICT,11,43
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,Lisnagarvey High School,4210051,ICT,11,105
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Joseph's High (Crossmaglen),5230167,ICT,11,21
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Columba's College,4230067,ICT,11,20
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Patrick's High (Keady),5230187,ICT,11,48
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Mary's Limavady,2230077,ICT,11,69
LLW,601/8497/8,OCN NI Level 2 Certificate in Information Technology Applications,OCN,4,A,Own School,St Ciaran's College,5230152,ICT,11,21
