,year,School,Course Name and Course Code,Label,AOL,Pupils,Provider,subject
0,11,St Patrick's Academy (Lisburn) (4230165),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,15,Own School,ICT
1,11,Larne High School (3210038),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,35,Own School,ICT
2,11,Cullybackey College (3210172),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,15,Own School,ICT
3,11,St Mary's High (Newry) (5230108),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,17,Own School,ICT
4,11,St Colman's High School (4230161),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,47,Own School,ICT
5,11,Drumglass High (5210231),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,8,Own School,ICT
6,11,Limavady High School (2210302),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,127,Own School,ICT
7,11,Holy Cross College (2230301),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,43,Own School,ICT
8,11,Priory Integrated College (4250024),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,40,Own School,ICT
9,11,Blackwater Integrated College (4260309),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,14,Own School,ICT
10,11,St Killian's College (3230310),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,19,Own School,ICT
11,11,De La Salle College (1230182),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,22,Own School,ICT
12,11,Ballymoney High School (3210133),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,140,Own School,ICT
13,11,Movilla High School (4210012),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,42,Own School,ICT
14,11,St Joseph's Boys' School (2230131),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,76,Own School,ICT
15,11,Lismore Comprehensive (5230213),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,16,Own School,ICT
16,11,Sacred Heart College (2230298),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,25,Own School,ICT
17,11,Craigavon Senior High School (5210282),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,90,Own School,ICT
18,11,Dean Maguirc College (2230138),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,49,Own School,ICT
19,11,Blessed Trinity College (1230321),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,83,Own School,ICT
20,11,Our Lady of Lourdes High School (3230075),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,22,Own School,ICT
21,11,Saintfield High School (4210063),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,22,Own School,ICT
22,11,St Patrick's College (Dungannon) (5230293),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,32,Own School,ICT
23,11,Lagan College (4260255),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,9,Own School,ICT
24,11,St Joseph's College (Enniskillen) (2230100),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,12,Collaboration with other school,ICT
25,11,All Saints College (1230324),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,78,Own School,ICT
26,11,St Patrick's College (Dungiven) (2230144),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,24,Own School,ICT
27,11,Rathfriland High (5210127),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,18,Own School,ICT
28,11,Hazelwood Integrated College (1260269),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,54,Own School,ICT
29,11,Ashfield Girls' High School (1210014),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,56,Own School,ICT
30,11,Ulidia Integrated College (3260299),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,20,Own School,ICT
31,11,St Genevieve's High (1230155),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,35,Own School,ICT
32,11,Cookstown High (5210230),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,6,Own School,ICT
33,11,Abbey Community College (3210313),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,112,Own School,ICT
34,11,St Ronan's College (5420314),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,100,Own School,ICT
35,11,St Mark's High (5230135),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,43,Own School,ICT
36,11,Lisnagarvey High School (4210051),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,105,Own School,ICT
37,11,St Joseph's High (Crossmaglen) (5230167),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,21,Own School,ICT
38,11,St Columba's College (4230067),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,20,Own School,ICT
39,11,St Patrick's High (Keady) (5230187),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,48,Own School,ICT
40,11,St Mary's Limavady (2230077),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,69,Own School,ICT
41,11,St Ciaran's College (5230152),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,21,Own School,ICT
42,11,Belfast Boys' Model School (1210022),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,61,Own School,ICT
43,11,St Patrick's Grammar (Armagh) (5420268),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,23,Own School,ICT
44,11,Dunluce School (3210222),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,22,Own School,ICT
45,11,Malone College (1260294),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,59,Own School,ICT
46,11,St Louis' Grammar School (5420045),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,15,Own School,ICT
47,11,St Joseph's College (1230275),OCN NI Level 2 Certificate in Information Technology Applications (601/8497/8),A,LLW,23,Own School,ICT
