,year,School,Course Name and Course Code,Label,AOL,Pupils,Provider,subject
0,11,Sullivan Upper School (4420044),AQA Level 1 Level 2 GCSE (9-1) in Computer Science (601/8301/9),A,ST,25,Own School,Computer Studies
1,11,St Patrick's Grammar (Downpatrick) (4420088),AQA Level 1 Level 2 GCSE (9-1) in Computer Science (601/8301/9),A,ST,20,Own School,Computer Studies
2,11,Cross and Passion College (3230227),AQA Level 1 Level 2 GCSE (9-1) in Computer Science (601/8301/9),A,ST,9,Collaboration with other school,Computer Studies
3,11,"Royal School, Dungannon (5420260)",OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),A,ST,27,Own School,Computer Studies
4,11,Banbridge Academy (5410013),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),A,ST,27,Own School,Computer Studies
5,11,Belfast Model School for Girls (1210021),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),A,ST,107,Own School,Computer Studies
6,11,St Colman's College (5420062),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),A,ST,15,Own School,Computer Studies
7,11,"Our Lady and St Patrick's College, Knock (4420259)",OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),A,ST,26,Own School,Computer Studies
8,11,St Louis' Grammar School (3420010),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),A,ST,32,Own School,Computer Studies
9,11,Belfast High School (3420077),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),A,ST,23,Own School,Computer Studies
10,11,Belfast Royal Academy (1420028),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),A,ST,58,Own School,Computer Studies
11,11,St Mary's Christian Brothers' Grammar School (1420021),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),"A
:selected:",ST,17,Own School,Computer Studies
12,11,Rathmore (1420095),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),"A
:selected:",ST,45,Own School,Computer Studies
13,11,St Killian's College (3230310),OCR Level 1 Level 2 GCSE (9-1) in Computer Science (601/8355/X),"A
:selected:",ST,16,Own School,Computer Studies
14,11,St Malachy's College (1420030),WJEC Eduqas Level 1 Level 2 GCSE (9-1) in Computer Science (601/8291/X),A,ST,26,Own School,Computer Studies
15,11,Lagan College (4260255),WJEC Eduqas Level 1 Level 2 GCSE (9-1) in Computer Science (601/8291/X),A,ST,22,Own School,Computer Studies
