id,id_raw,name,city,county,postcode,status,type
1210014,121-0014,Ashfield Girls' High School,BELFAST,ANTRIM,BT4  2LY,Controlled,Secondary
1210015,121-0015,Ashfield Boys' High School,BELFAST,ANTRIM,BT4  2LY,Controlled,Secondary
1210021,121-0021,Belfast Model School For Girls,BELFAST,ANTRIM,BT14 6NQ,Controlled,Secondary
1210022,121-0022,Belfast Boys' Model School,BELFAST,ANTRIM,BT14 6RB,Controlled,Secondary
1230053,123-0053,St Louise's Comprehensive College,BELFAST,ANTRIM,BT12 6EN,Roman Catholic Maintained,Secondary
1230104,123-0104,Mercy College Belfast ,BELFAST,ANTRIM,BT14 7QR,Roman Catholic Maintained,Secondary
1230155,123-0155,St Genevieve's High School,BELFAST,ANTRIM,BT11 9JP,Roman Catholic Maintained,Secondary
1230182,123-0182,De La Salle College,BELFAST,ANTRIM,BT11 8LT,Roman Catholic Maintained,Secondary
1230275,123-0275,St Joseph's College,BELFAST,ANTRIM,BT6 0BY ,Roman Catholic Maintained,Secondary
1230321,123-0321,Blessed Trinity College ,BELFAST,ANTRIM,BT15 4DZ,Roman Catholic Maintained,Secondary
1230324,123-0324,All Saints College,BELFAST,ANTRIM,BT11 8BW,Roman Catholic Maintained,Secondary
1240291,124-0291,Coláiste Feirste,BELFAST,ANTRIM,BT12 7PY,Other Maintained,Secondary
1260269,126-0269,Hazelwood College,NEWTOWNABBEY,ANTRIM,BT36 7ES,Grant Maintained Integrated,Secondary
1260294,126-0294,Malone Integrated College,BELFAST,ANTRIM,BT10 OJB,Grant Maintained Integrated,Secondary
1336548,133-6548,St Gerard’s School and Support Services,BELFAST,ANTRIM,BT10 0NB,Roman Catholic Maintained,Special
2210065,221-0065,Castlederg High School,CASTLEDERG,TYRONE,BT81 7RU,Controlled,Secondary
2210125,221-0125,Omagh High School,OMAGH,TYRONE,BT79 0EQ,Controlled,Secondary
2210302,221-0302,Limavady High School,LIMAVADY,LONDONDERRY,BT49 9AN,Controlled,Secondary
2210306,221-0306,Lisneal College,LONDONDERRY,LONDONDERRY,BT47 5FQ,Controlled,Secondary
2210312,221-0312,Devenish College,ENNISKILLEN,FERMANAGH,BT74 6JL,Controlled,Secondary
2230077,223-0077,St Mary's Limavady,LIMAVADY,LONDONDERRY,BT49 9AN,Roman Catholic Maintained,Secondary
2230081,223-0081,St Mary's College,LONDONDERRY,LONDONDERRY,BT48 0AN,Roman Catholic Maintained,Secondary
2230099,223-0099,St Fanchea's College,ENNISKILLEN,FERMANAGH,BT74 4AD,Roman Catholic Maintained,Secondary
2230100,223-0100,St Joseph's College,ENNISKILLEN,FERMANAGH,BT74 6DE,Roman Catholic Maintained,Secondary
2230109,223-0109,St Mary's College,ENNISKILLEN,FERMANAGH,BT94 1EL,Roman Catholic Maintained,Secondary
2230122,223-0122,St Patricks & St Brigids College,LONDONDERRY,LONDONDERRY,BT47 4HR,Roman Catholic Maintained,Secondary
2230131,223-0131,St Joseph's Boys' School,LONDONDERRY,LONDONDERRY,BT48 9NX,Roman Catholic Maintained,Secondary
2230138,223-0138,Dean Maguirc College,OMAGH,TYRONE,BT79 9JR,Roman Catholic Maintained,Secondary
2230144,223-0144,St Patrick's College,LONDONDERRY,LONDONDERRY,BT47 4SE,Roman Catholic Maintained,Secondary
2230148,223-0148,St John's Business and Enterprise College,OMAGH,TYRONE,BT78 3AL,Roman Catholic Maintained,Secondary
