id,name,postcode,geometry,bbox_north,bbox_south,bbox_east,bbox_west,place_id,osm_type,osm_id,lat,lon,display_name,class,type,importance
5420314,St Ronan's College,BT67 9JW,"MULTIPOLYGON (((-6.3495387 54.4613895, -6.349013 54.460942, -6.3488909 54.4608741, -6.3487695 54.4608219, -6.3487475 54.4608124, -6.3485882 54.4607507, -6.348328 54.4607044, -6.3481832 54.4606779, -6.3481195 54.4606443, -6.347969 54.4606275, -6.3457429 54.461239, -6.3458869 54.461402, -6.3463669 54.4619479, -6.3471912 54.4627605, -6.3481816 54.4622011, -6.3495387 54.4613895)), ((-6.3380462 54.4608118, -6.3375734 54.4603999, -6.3370903 54.4605916, -6.3358118 54.4610989, -6.3352638 54.4613258, -6.3361517 54.4619996, -6.33656 54.461818, -6.3375174 54.4613228, -6.3377679 54.4611933, -6.3375387 54.4610215, -6.3380462 54.4608118)))",54.4627605,54.4603999,-6.3352638,-6.3495387,298559362,relation,11200706,54.46167495,-6.347594145370258,"St Ronan's College, Francis Street, Lurgan, County Armagh, Ulster, Northern Ireland, BT67 9JW, United Kingdom",amenity,school,0.6001000000000001
5420268,St Patrick's Grammar (Armagh),BT61 7QZ,"POLYGON ((-6.6598666 54.3548743, -6.6597705 54.3546639, -6.6595238 54.3545213, -6.6593459 54.3544621, -6.6591571 54.3544303, -6.6589448 54.3540054, -6.6588854 54.3538751, -6.6587881 54.3537336, -6.6586414 54.3535106, -6.6584631 54.3531269, -6.6581447 54.3524339, -6.6580488 54.3523507, -6.6579069 54.3522275, -6.6573737 54.3527059, -6.6573449 54.3527317, -6.6569643 54.3527224, -6.6569643 54.3529073, -6.6570515 54.3534227, -6.6571308 54.3539865, -6.6571268 54.3543077, -6.6570951 54.3547006, -6.6570079 54.3548138, -6.6570119 54.3548808, -6.6573554 54.3549121, -6.6574679 54.3549224, -6.6575546 54.3549878, -6.6583164 54.3550818, -6.6590024 54.3551812, -6.6592403 54.3551903, -6.6594109 54.3551426, -6.6596782 54.3550657, -6.6598018 54.3549732, -6.6598666 54.3548743))",54.3551903,54.3522275,-6.6569643,-6.6598666,207055283,way,456751637,54.353622099999995,-6.657897148075557,"St Patrick's Grammar School, Moy Road, Armagh, County Armagh, Ulster, Northern Ireland, BT61 7QZ, United Kingdom",amenity,school,0.8101
5420045,St Louis' Grammar School,BT34 4EU,"POLYGON ((-6.0347755 54.0660042, -6.0335005 54.0657173, -6.0326293 54.0655594, -6.0323601 54.065364, -6.0321476 54.064886, -6.0315456 54.0645908, -6.0309222 54.0646158, -6.0307947 54.0645326, -6.0307806 54.0644994, -6.031071 54.0642042, -6.0307664 54.064067, -6.0301997 54.0642915, -6.0295268 54.0651936, -6.0294631 54.0652185, -6.0294772 54.0658171, -6.0304547 54.0659086, -6.0306814 54.0659169, -6.0311347 54.0659958, -6.0311985 54.0660208, -6.0312056 54.0660624, -6.0310568 54.0665279, -6.030986 54.0665279, -6.0309151 54.0666859, -6.030986 54.0667067, -6.0308939 54.0671473, -6.0308726 54.0672263, -6.0309555 54.0672307, -6.0322797 54.067301, -6.0324354 54.0673093, -6.032516 54.0673135, -6.0336422 54.0674424, -6.0336961 54.0674084, -6.0339294 54.0670434, -6.0344284 54.0664406, -6.0347755 54.0660042))",54.0674424,54.064067,-6.0294631,-6.0347755,262826519,way,804323929,54.065767199999996,-6.031599141529906,"St Louis Grammar School, 151, Newry Road, Kilkeel, County Down, Ulster, Northern Ireland, BT34 4EU, United Kingdom",amenity,school,0.753150759043076
5420045,St Louis' Grammar School,BT34 4EU,"POLYGON ((-6.0347755 54.0660042, -6.0335005 54.0657173, -6.0326293 54.0655594, -6.0323601 54.065364, -6.0321476 54.064886, -6.0315456 54.0645908, -6.0309222 54.0646158, -6.0307947 54.0645326, -6.0307806 54.0644994, -6.031071 54.0642042, -6.0307664 54.064067, -6.0301997 54.0642915, -6.0295268 54.0651936, -6.0294631 54.0652185, -6.0294772 54.0658171, -6.0304547 54.0659086, -6.0306814 54.0659169, -6.0311347 54.0659958, -6.0311985 54.0660208, -6.0312056 54.0660624, -6.0310568 54.0665279, -6.030986 54.0665279, -6.0309151 54.0666859, -6.030986 54.0667067, -6.0308939 54.0671473, -6.0308726 54.0672263, -6.0309555 54.0672307, -6.0322797 54.067301, -6.0324354 54.0673093, -6.032516 54.0673135, -6.0336422 54.0674424, -6.0336961 54.0674084, -6.0339294 54.0670434, -6.0344284 54.0664406, -6.0347755 54.0660042))",54.0674424,54.064067,-6.0294631,-6.0347755,262826519,way,804323929,54.065767199999996,-6.031599141529906,"St Louis Grammar School, 151, Newry Road, Kilkeel, County Down, Ulster, Northern Ireland, BT34 4EU, United Kingdom",amenity,school,0.753150759043076
3420068,Dominican College,BT15 4AQ,"POLYGON ((-5.9340808 54.6300021, -5.9339336 54.6294514, -5.9332422 54.6295261, -5.9331949 54.6293612, -5.9335564 54.6293221, -5.9332093 54.628379, -5.9330844 54.6283932, -5.9319197 54.6286116, -5.931368 54.6287389, -5.9304865 54.6289987, -5.9313017 54.6298987, -5.9315699 54.6305756, -5.9316786 54.6311915, -5.9326964 54.6314219, -5.9327644 54.6307638, -5.9328304 54.63001, -5.9329929 54.6299912, -5.9340808 54.6300021))",54.6314219,54.628379,-5.9304865,-5.9340808,201575625,way,425075109,54.629944949999995,-5.932692774554456,"Dominican College, Dunlambert Drive, Fortwilliam, Belfast, County Antrim, Ulster, Northern Ireland, BT15 4AQ, United Kingdom",amenity,school,0.6075345213990273
2410311,Strabane Academy,BT82 8NW,"POLYGON ((-7.4540202 54.8151545, -7.4539107 54.8149685, -7.4535937 54.8149287, -7.4528847 54.8148523, -7.4523602 54.814756, -7.4519856 54.814364, -7.4512478 54.8146596, -7.4509884 54.8149619, -7.4507809 54.8151346, -7.4506714 54.8154966, -7.4506067 54.8156871, -7.4507203 54.8156936, -7.4511114 54.8157676, -7.4514734 54.8158685, -7.4515726 54.8159627, -7.4517594 54.8160064, -7.4520338 54.8160535, -7.4522614 54.8160636, -7.4527751 54.8160804, -7.4530647 54.8160602, -7.4533455 54.8161255, -7.4538644 54.816125, -7.4539914 54.8160014, -7.453928 54.8158353, -7.4539799 54.8155995, -7.4540087 54.815294, -7.4540202 54.8151545))",54.8161255,54.814364,-7.4506067,-7.4540202,263656961,way,817256073,54.81522425,-7.45238411605663,"Strabane Academy, 4, Liskey Road, Strabane, County Tyrone, Ulster, Northern Ireland, BT82 8NW, United Kingdom",place,house,0.6083870403687117
1420021,St Mary's Christian Brothers' Grammar School,BT11 8NR,"POLYGON ((-6.0061078 54.583258, -6.0033845 54.5816969, -6.0028927 54.5815783, -6.0026592 54.5818066, -6.0020614 54.5826161, -6.0019242 54.5826339, -5.9999511 54.5817805, -5.9998433 54.5818868, -6.0001291 54.5820911, -5.9992947 54.5827644, -5.9995511 54.5830834, -6.0005727 54.5838214, -6.0008038 54.584034, -6.0012099 54.5838955, -6.0014731 54.5840058, -6.0021381 54.5841365, -6.0036133 54.5850326, -6.0037796 54.5849491, -6.0061078 54.583258))",54.5850326,54.5815783,-5.9992947,-6.0061078,199754234,way,414349039,54.5835397,-6.002951360491052,"St Mary's Christian Brothers' Grammar School, 147A, Glen Road, Lenadoon, Belfast, County Antrim, Ulster, Northern Ireland, BT11 8NR, United Kingdom",amenity,school,0.9001
3420317,Coleraine Grammar School,BT51 1LZ,"POLYGON ((-6.6649098 55.1308778, -6.6626999 55.1292537, -6.6621742 55.1295757, -6.6618308 55.1294009, -6.6613159 55.1297076, -6.6604039 55.1292291, -6.6597489 55.1296085, -6.6602592 55.1300389, -6.6602975 55.130451, -6.6619561 55.1310966, -6.6622623 55.13102, -6.6631363 55.131578, -6.6643645 55.1310931, -6.6649098 55.1308778))",55.131578,55.1292291,-6.6597489,-6.6649098,205966573,way,450764611,55.130244950000005,-6.6621635180099785,"Coleraine Grammar School - Lodge Road Campus, Lodge Road, Coleraine Town Centre, Coleraine, County Londonderry, Ulster, Northern Ireland, BT51 1LZ, United Kingdom",place,house,0.6976412227802594
5420045,St Louis' Grammar School,BT34 4EU,"POLYGON ((-6.0347755 54.0660042, -6.0335005 54.0657173, -6.0326293 54.0655594, -6.0323601 54.065364, -6.0321476 54.064886, -6.0315456 54.0645908, -6.0309222 54.0646158, -6.0307947 54.0645326, -6.0307806 54.0644994, -6.031071 54.0642042, -6.0307664 54.064067, -6.0301997 54.0642915, -6.0295268 54.0651936, -6.0294631 54.0652185, -6.0294772 54.0658171, -6.0304547 54.0659086, -6.0306814 54.0659169, -6.0311347 54.0659958, -6.0311985 54.0660208, -6.0312056 54.0660624, -6.0310568 54.0665279, -6.030986 54.0665279, -6.0309151 54.0666859, -6.030986 54.0667067, -6.0308939 54.0671473, -6.0308726 54.0672263, -6.0309555 54.0672307, -6.0322797 54.067301, -6.0324354 54.0673093, -6.032516 54.0673135, -6.0336422 54.0674424, -6.0336961 54.0674084, -6.0339294 54.0670434, -6.0344284 54.0664406, -6.0347755 54.0660042))",54.0674424,54.064067,-6.0294631,-6.0347755,262826519,way,804323929,54.065767199999996,-6.031599141529906,"St Louis Grammar School, 151, Newry Road, Kilkeel, County Down, Ulster, Northern Ireland, BT34 4EU, United Kingdom",amenity,school,0.753150759043076
5420045,St Louis' Grammar School,BT34 4EU,"POLYGON ((-6.0347755 54.0660042, -6.0335005 54.0657173, -6.0326293 54.0655594, -6.0323601 54.065364, -6.0321476 54.064886, -6.0315456 54.0645908, -6.0309222 54.0646158, -6.0307947 54.0645326, -6.0307806 54.0644994, -6.031071 54.0642042, -6.0307664 54.064067, -6.0301997 54.0642915, -6.0295268 54.0651936, -6.0294631 54.0652185, -6.0294772 54.0658171, -6.0304547 54.0659086, -6.0306814 54.0659169, -6.0311347 54.0659958, -6.0311985 54.0660208, -6.0312056 54.0660624, -6.0310568 54.0665279, -6.030986 54.0665279, -6.0309151 54.0666859, -6.030986 54.0667067, -6.0308939 54.0671473, -6.0308726 54.0672263, -6.0309555 54.0672307, -6.0322797 54.067301, -6.0324354 54.0673093, -6.032516 54.0673135, -6.0336422 54.0674424, -6.0336961 54.0674084, -6.0339294 54.0670434, -6.0344284 54.0664406, -6.0347755 54.0660042))",54.0674424,54.064067,-6.0294631,-6.0347755,262826519,way,804323929,54.065767199999996,-6.031599141529906,"St Louis Grammar School, 151, Newry Road, Kilkeel, County Down, Ulster, Northern Ireland, BT34 4EU, United Kingdom",amenity,school,0.753150759043076
