id,id_raw,name,city,county,postcode,status,type,lat,lon
1210014,121-0014,Ashfield Girls' High School,BELFAST,County Down,BT4 2LY,Controlled,Secondary,54.60886955,-5.8640664
1210015,121-0015,Ashfield Boys' High School,BELFAST,County Down,BT4 2LY,Controlled,Secondary,54.60886955,-5.8640664
1210021,121-0021,Belfast Model School For Girls,BELFAST,County Antrim,BT14 6NQ,Controlled,Secondary,54.624811,-5.9557836
1210022,121-0022,Belfast Boys' Model School,BELFAST,County Antrim,BT14 6RB,Controlled,Secondary,54.6324042,-5.9611085
1230053,123-0053,St Louise's Comprehensive College,BELFAST,County Antrim,BT12 6EN,Roman Catholic Maintained,Secondary,54.58714263,-5.969967625
1230104,123-0104,Mercy College Belfast ,BELFAST,County Antrim,BT14 7QR,Roman Catholic Maintained,Secondary,54.6236798,-5.9719601
1230155,123-0155,St Genevieve's High School,BELFAST,County Antrim,BT11 9JP,Roman Catholic Maintained,Secondary,54.57072303,-6.000961
1230182,123-0182,De La Salle College,BELFAST,County Antrim,BT11 8LT,Roman Catholic Maintained,Secondary,54.5769887,-5.9979728
1230275,123-0275,St Joseph's College,BELFAST,County Down,BT6 0BY,Roman Catholic Maintained,Secondary,54.57648405,-5.90925365
1230321,123-0321,Blessed Trinity College ,BELFAST,County Antrim,BT15 4DZ,Roman Catholic Maintained,Secondary,54.6311881,-5.9368109
1230324,123-0324,All Saints College,BELFAST,County Antrim,BT11 8BW,Roman Catholic Maintained,Secondary,54.5794758,-5.9983462
1240291,124-0291,Coláiste Feirste,BELFAST,County Antrim,BT12 7PY,Other Maintained,Secondary,54.591508,-5.9717564
1260269,126-0269,Hazelwood College,NEWTOWNABBEY,County Antrim,BT36 7ES,Grant Maintained Integrated,Secondary,54.6469062,-5.9271524
1260294,126-0294,Malone Integrated College,BELFAST,County Antrim,BT10 0JB,Grant Maintained Integrated,Secondary,54.56615283,-5.9836321
1336548,133-6548,St Gerard’s School and Support Services,BELFAST,County Antrim,BT10 0NB,Roman Catholic Maintained,Special,54.5618198,-5.9965289
2210065,221-0065,Castlederg High School,CASTLEDERG,County Tyrone,BT81 7RU,Controlled,Secondary,54.7010513,-7.5964306
2210125,221-0125,Omagh High School,OMAGH,County Tyrone,BT79 0EQ,Controlled,Secondary,54.5994635,-7.2881731
2210302,221-0302,Limavady High School,LIMAVADY,County Londonderry,BT49 9AN,Controlled,Secondary,55.04835335,-6.9471328
2210306,221-0306,Lisneal College,LONDONDERRY,County Londonderry,BT47 5FQ,Controlled,Secondary,54.995923,-7.2741978
2210312,221-0312,Devenish College,ENNISKILLEN,County Fermanagh,BT74 6JL,Controlled,Secondary,54.3393607,-7.6322592
2230077,223-0077,St Mary's Limavady,LIMAVADY,County Londonderry,BT49 9AN,Roman Catholic Maintained,Secondary,55.04835335,-6.9471328
2230081,223-0081,St Mary's College,LONDONDERRY,County Londonderry,BT48 0AN,Roman Catholic Maintained,Secondary,55.0117687,-7.3282809
2230099,223-0099,St Fanchea's College,ENNISKILLEN,County Fermanagh,BT74 4AD,Roman Catholic Maintained,Secondary,54.3539991,-7.6158703
2230100,223-0100,St Joseph's College,ENNISKILLEN,County Fermanagh,BT74 6DE,Roman Catholic Maintained,Secondary,54.35024593,-7.61924215
2230109,223-0109,St Mary's College,ENNISKILLEN,County Fermanagh,BT94 1EL,Roman Catholic Maintained,Secondary,54.4708519,-7.6370494
2230122,223-0122,St Patricks & St Brigids College,LONDONDERRY,County Londonderry,BT47 4HR,Roman Catholic Maintained,Secondary,54.91198989,-7.155766231
2230131,223-0131,St Joseph's Boys' School,LONDONDERRY,County Londonderry,BT48 9NX,Roman Catholic Maintained,Secondary,55.0005368,-7.3373845
2230138,223-0138,Dean Maguirc College,OMAGH,County Tyrone,BT79 9JR,Roman Catholic Maintained,Secondary,54.5935194,-7.0431764
2230144,223-0144,St Patrick's College,LONDONDERRY,County Londonderry,BT47 4SE,Roman Catholic Maintained,Secondary,54.92184315,-6.9137609
2230148,223-0148,St John's Business and Enterprise College,OMAGH,County Tyrone,BT78 3AL,Roman Catholic Maintained,Secondary,54.5146842,-7.4532603
2230166,223-0166,St Aidan's High School,ENNISKILLEN,County Fermanagh,BT92 9LD,Roman Catholic Maintained,Secondary,54.1924051,-7.5643286
2230188,223-0188,St Cecilia's  College,LONDONDERRY,County Londonderry,BT48 9PJ,Roman Catholic Maintained,Secondary,54.99467835,-7.33738005
2230225,223-0225,St Brigid's College,LONDONDERRY,County Londonderry,BT48 8DU,Roman Catholic Maintained,Secondary,55.0262977,-7.3188467
2230298,223-0298,Sacred Heart College,OMAGH,County Tyrone,BT78 1LG,Roman Catholic Maintained,Secondary,54.5951746,-7.306494
2230301,223-0301,Holy Cross College,STRABANE,County Tyrone,BT82 9EF,Roman Catholic Maintained,Secondary,54.8141739,-7.47414345
2230322,223-0322,St Kevin's College,BELLEEK,County Fermanagh,BT92 0LA,Roman Catholic Maintained,Secondary,54.26184845,-7.4523983
2240319,224-0319,Gaelcholáiste Dhoire ,LONDONDERRY,County Londonderry,BT47 4LF,Other Maintained,Secondary,54.9245211,-6.9207353
2260276,226-0276,Oakgrove Integrated College,LONDONDERRY,County Londonderry,BT47 6TG,Grant Maintained Integrated,Secondary,55.0245142,-7.2810061
2260280,226-0280,Erne Integrated College,ENNISKILLEN,County Fermanagh,BT74 4FW,Grant Maintained Integrated,Secondary,54.36119075,-7.63895475
2260283,226-0283,Drumragh Integrated College,OMAGH,County Tyrone,BT79 0GW,Grant Maintained Integrated,Secondary,54.58632785,-7.2726535
3210035,321-0035,Magherafelt High School,MAGHERAFELT,County Londonderry,BT45 6AF,Controlled,Secondary,54.7504413,-6.6111809
