121-0014,Ashfield Girls' High School,397 HOLYWOOD ROAD,,,BELFAST,ANTRIM,BT4  2LY,028 9047 1744,Controlled,Secondary,Open,,info@ashgirls.belfast.ni.sch.uk
121-0015,Ashfield Boys' High School,395 HOLYWOOD ROAD,,,BELFAST,ANTRIM,BT4  2LY,028 9065 6812,Controlled,Secondary,Open,,info@ashfieldboys.belfast.ni.sch.uk
121-0021,Belfast Model School For Girls,35 Dunowen Gardens                                   ,,,BELFAST,ANTRIM,BT14 6NQ,02890 718111,Controlled,Secondary,Open,,info@girlsmodel.belfast.ni.sch.uk
121-0022,Belfast Boys' Model School,BALLYSILLAN ROAD,,,BELFAST,ANTRIM,BT14 6RB,028 9039 1156,Controlled,Secondary,Open,,info@bbms.belfast.ni.sch.uk
123-0053,St Louise's Comprehensive College,468 FALLS ROAD,,,BELFAST,ANTRIM,BT12 6EN,028 9032 5631,Roman Catholic Maintained,Secondary,Open,,info@stlouises.belfast.ni.sch.uk
123-0104,Mercy College Belfast ,BALLYSILLAN ROAD,,,BELFAST,ANTRIM,BT14 7QR,028 9039 1769,Roman Catholic Maintained,Secondary,Open,, info@mercycollege.belfast.ni.sch.uk 
123-0155,St Genevieve's High School,TRENCH HOUSE,87 STEWARTSTOWN ROAD,,BELFAST,ANTRIM,BT11 9JP,028 90925670,Roman Catholic Maintained,Secondary,Open,,info@stgenevieves.belfast.ni.sch.uk
123-0182,De La Salle College,EDENMORE DRIVE,,,BELFAST,ANTRIM,BT11 8LT,028 9050 8800,Roman Catholic Maintained,Secondary,Open,,info@delasallecollege.belfast.ni.sch.uk
123-0275,St Joseph's College,518-572 RAVENHILL ROAD,,,BELFAST,ANTRIM,BT6 0BY ,028 9049 1280,Roman Catholic Maintained,Secondary,Open,,info@stjosephs.belfast.ni.sch.uk
123-0321,Blessed Trinity College ,619 Antrim Road,,,BELFAST,ANTRIM,BT15 4DZ,028 9037 0665,Roman Catholic Maintained,Secondary,Open,,info@trinitycollege.belfast.ni.sch.uk
123-0324,All Saints College,Glen Road ,,,BELFAST,ANTRIM,BT11 8BW,,Roman Catholic Maintained,Secondary,Open,,info@allsaintscollege.belfast.ni.sch.uk
124-0291,Coláiste Feirste,7 BEECHVIEW PARK,FALLS ROAD,,BELFAST,ANTRIM,BT12 7PY,028 9032 0707,Other Maintained,Secondary,Open,,info@colaistefeirste.belfast.ni.sch.uk
126-0269,Hazelwood College,70 WHITEWELL ROAD,,,NEWTOWNABBEY,ANTRIM,BT36 7ES,028 9077 4202,Grant Maintained Integrated,Secondary,Open,,info@hazelwood.belfast.ni.sch.uk
126-0294,Malone Integrated College,45 FINAGHY ROAD,,,BELFAST,ANTRIM,BT10 OJB,028 9038 1988,Grant Maintained Integrated,Secondary,Open,,info@malonecollege.belfast.ni.sch.uk
133-6548,St Gerard’s School and Support Services,Blacks Road,,,BELFAST,ANTRIM,BT10 0NB,028 90603035,Roman Catholic Maintained,Special,Open,,info@stgerardsrc.belfast.ni.sch.uk
221-0065,Castlederg High School,16 CASTLEGORE ROAD,,,CASTLEDERG,TYRONE,BT81 7RU,028 8167 1272,Controlled,Secondary,Open,,info@chs.castlederg.ni.sch.uk
221-0125,Omagh High School,14 CREVENAGH ROAD,,,OMAGH,TYRONE,BT79 0EQ,028 8224 2656,Controlled,Secondary,Open,,info@omaghhigh.omagh.ni.sch.uk
221-0302,Limavady High School,64 IRISH GREEN STREET,,,LIMAVADY,LONDONDERRY,BT49 9AN,028 7776 2526,Controlled,Secondary,Open,,info@limavadyhigh.limavady.ni.sch.uk
221-0306,Lisneal College,70 Crescent Link Road,,,LONDONDERRY,LONDONDERRY,BT47 5FQ,028 7134 8888,Controlled,Secondary,Open,,info@lisnealcollege.londonderry.ni.sch.uk
221-0312,Devenish College,1 Alego Drive,Derrychara,,ENNISKILLEN,FERMANAGH,BT74 6JL,02866 322923,Controlled,Secondary,Open,,info@devenishcollege.ekn.ni.sch.uk
223-0077,St Mary's Limavady,IRISH GREEN STREET,,,LIMAVADY,LONDONDERRY,BT49 9AN,028 77762360,Roman Catholic Maintained,Secondary,Open,,info@stmarys.limavady.ni.sch.uk
223-0081,St Mary's College,35 Northland Road,,,LONDONDERRY,LONDONDERRY,BT48 0AN,028 7136 2154,Roman Catholic Maintained,Secondary,Open,,info@stmarys.derry.ni.sch.uk
223-0099,St Fanchea's College,21Coa Road,Chanterhill ,,ENNISKILLEN,FERMANAGH,BT74 4AD,028 6632 2919,Roman Catholic Maintained,Secondary,Open,,info@stfancheascollege.enniskillen.ni.sch.uk
223-0100,St Joseph's College,CHANTERHILL ROAD,,,ENNISKILLEN,FERMANAGH,BT74 6DE,028 6632 2918,Roman Catholic Maintained,Secondary,Open,,info@stjosephs.enniskillen.ni.sch.uk
223-0109,St Mary's College,"40 CHURCH STREET, LISNARICK ROAD",IRVINESTOWN,,ENNISKILLEN,FERMANAGH,BT94 1EL,028 68621318,Roman Catholic Maintained,Secondary,Open,,info@stmarys.irvinestown.ni.sch.uk
223-0122,St Patricks & St Brigids College,55 MAIN STREET,CLAUDY,,LONDONDERRY,LONDONDERRY,BT47 4HR,028 7133 8317,Roman Catholic Maintained,Secondary,Open,,info@spbcollege.claudy.ni.sch.uk
223-0131,St Joseph's Boys' School,WESTWAY,,,LONDONDERRY,LONDONDERRY,BT48 9NX,028 7126 2923,Roman Catholic Maintained,Secondary,Open,,info@stjosephs.derry.ni.sch.uk
223-0138,Dean Maguirc College,26 TERMON ROAD,"CARRICKMORE, SIXMILECROSS",,OMAGH,TYRONE,BT79 9JR,028 8076 1272,Roman Catholic Maintained,Secondary,Open,,info@deanmaguirccollege.carrickmore.ni.sch.uk
223-0144,St Patrick's College,9 CURRAGH ROAD,DUNGIVEN,,LONDONDERRY,LONDONDERRY,BT47 4SE,028 7774 1324,Roman Catholic Maintained,Secondary,Open,,info@stpatricks.dungiven.ni.sch.uk
223-0148,St John's Business and Enterprise College,37 OMAGH ROAD,DROMORE,,OMAGH,TYRONE,BT78 3AL,028 8289 8284,Roman Catholic Maintained,Secondary,Open,,info@stjohns.dromore.ni.sch.uk
223-0166,St Aidan's High School,"138 MAIN STREET, DERRYLIN",,,ENNISKILLEN,FERMANAGH,BT92 9LD,028 6774 8337,Roman Catholic Maintained,Secondary,Open,,info@staidans.derrylin.ni.sch.uk
223-0188,St Cecilia's  College,Bligh's Lane,,,LONDONDERRY,LONDONDERRY,BT48 9PJ,028 7128 1800,Roman Catholic Maintained,Secondary,Open,,info@stcecilias.derry.ni.sch.uk
223-0225,St Brigid's College,1 GLENGALLIAGH ROAD,SHANTALLOW,,LONDONDERRY,LONDONDERRY,BT48 8DU,028 7135 1002,Roman Catholic Maintained,Secondary,Open,,info@stbrigids.derry.ni.sch.uk
223-0298,Sacred Heart College,KEVLIN ROAD,,,OMAGH,TYRONE,BT78 1LG,028 8224 2717,Roman Catholic Maintained,Secondary,Open,,info@shc.omagh.ni.sch.uk
223-0301,Holy Cross College,35 Melmount Road,,,STRABANE,TYRONE,BT82 9EF,028 7188 0315,Roman Catholic Maintained,Secondary,Open,,info@holycrosscollege.strabane.ni.sch.uk
223-0322,St Kevin's College,"38 Nutfield Road, Derryree",Lisnaskea,Enniskillen,BELLEEK,FERMANAGH,BT92 OLA,028 6772 1417,Roman Catholic Maintained,Secondary,Open,,info@stkevins.lisnaskea.ni.sch.uk
224-0319,Gaelcholáiste Dhoire ,Dungiven Castle,145 Main Street,Dungiven,LONDONDERRY,LONDONDERRY,BT47 4LF,028 7774 1015,Other Maintained,Secondary,Open,,info@gcd.doire.ni.sch.uk
226-0276,Oakgrove Integrated College,STRADREAGH,"GRANSHA PARK, CLOONEY ROAD",,LONDONDERRY,LONDONDERRY,BT47 6TG,028 7186 0443,Grant Maintained Integrated,Secondary,Open,,info@oakgrovecollege.derry.ni.sch.uk
